date,stock,signal,predicted_return,weight,actual_return
2026-04-13,RELIANCE,1,-0.0786,0.0,
2026-04-13,ONGC,1,-0.0786,0.0,
2026-04-13,IOC,1,-0.0786,0.0,
2026-04-13,BPCL,1,-0.0786,0.0,
2026-04-13,INDIGO,1,-0.0786,0.0,
2026-04-13,HPCL,1,-0.0786,0.0,
2026-04-13,ADANIPORTS,1,-0.0786,0.0,
2026-04-13,TATAMOTORS,1,-0.0786,0.0,
2026-04-13,MARUTI,1,-0.0786,0.0,
2026-04-13,ASIANPAINT,1,-0.0786,0.0,
2026-04-13,HINDUNILVR,1,-0.0786,0.0,
2026-04-13,ITC,1,-0.0786,0.0,
2026-04-13,TCS,1,-0.0786,0.0,
2026-04-13,INFY,1,-0.0786,0.0,
2026-04-13,CIPLA,1,-0.0786,0.0,
2026-04-13,RELIANCE,1,-0.0786,0.0,
2026-04-13,ONGC,1,-0.0786,0.0,
2026-04-13,IOC,1,-0.0786,0.0,
2026-04-13,BPCL,1,-0.0786,0.0,
2026-04-13,INDIGO,1,-0.0786,0.0,
2026-04-13,HPCL,1,-0.0786,0.0,
2026-04-13,ADANIPORTS,1,-0.0786,0.0,
2026-04-13,TATAMOTORS,1,-0.0786,0.0,
2026-04-13,MARUTI,1,-0.0786,0.0,
2026-04-13,ASIANPAINT,1,-0.0786,0.0,
2026-04-13,HINDUNILVR,1,-0.0786,0.0,
2026-04-13,ITC,1,-0.0786,0.0,
2026-04-13,TCS,1,-0.0786,0.0,
2026-04-13,INFY,1,-0.0786,0.0,
2026-04-13,CIPLA,1,-0.0786,0.0,
2026-04-13,RELIANCE,-1,-0.173,-0.1429,
2026-04-13,ONGC,1,0.4077,0.125,
2026-04-13,IOC,-1,-0.1342,-0.1429,
2026-04-13,BPCL,-1,-0.1608,-0.1429,
2026-04-13,INDIGO,1,-0.0607,0.125,
2026-04-13,HPCL,1,0.2724,0.125,
2026-04-13,ADANIPORTS,1,0.293,0.125,
2026-04-13,TATAMOTORS,1,0.2724,0.125,
2026-04-13,MARUTI,1,-0.0647,0.125,
2026-04-13,ASIANPAINT,1,0.2923,0.125,
2026-04-13,HINDUNILVR,1,-0.1342,0.125,
2026-04-13,ITC,-1,-0.1816,-0.1429,
2026-04-13,TCS,-1,-0.1704,-0.1429,
2026-04-13,INFY,-1,-0.174,-0.1429,
2026-04-13,CIPLA,-1,-0.2448,-0.1429,
