,count,mean,std,min,25%,50%,75%,max,annualised_vol
RELIANCE,192800.0,-0.125,9.283,-403.727,-0.747,0.064,0.853,5.126,147.357
ONGC,192800.0,0.03,1.598,-17.279,-0.937,0.0,1.004,7.992,25.367
IOC,192800.0,0.02,2.181,-6.575,-1.032,0.004,0.995,67.525,34.628
BPCL,192800.0,-0.018,1.712,-15.242,-1.069,-0.008,1.079,7.179,27.18
INDIGO,192800.0,0.038,2.937,-8.69,-1.295,0.0,1.307,95.962,46.619
HPCL,192800.0,0.049,1.481,-6.262,-0.717,0.0,0.898,5.554,23.513
ADANIPORTS,192800.0,0.045,2.411,-7.776,-1.112,0.0,1.103,74.07,38.268
TATAMOTORS,192800.0,0.037,1.792,-6.777,-0.919,0.0,1.048,6.836,28.444
MARUTI,192800.0,0.019,2.638,-97.873,-0.853,0.058,0.979,8.389,41.881
ASIANPAINT,192800.0,-0.009,2.986,-119.86,-0.69,0.048,0.802,4.674,47.399
HINDUNILVR,192800.0,-0.009,3.036,-125.094,-0.637,0.046,0.732,4.645,48.202
ITC,192800.0,-0.007,1.638,-51.343,-0.713,0.0,0.783,4.907,26.005
TCS,192800.0,-0.022,2.149,-76.839,-0.776,0.003,0.827,5.463,34.111
INFY,192800.0,-0.017,2.261,-78.399,-0.868,0.008,0.903,7.616,35.885
CIPLA,192800.0,0.012,1.337,-5.529,-0.871,0.0,0.835,16.622,21.224
BRENT,192800.0,-0.047,2.461,-16.275,-1.403,0.0,1.307,25.0,39.067
NIFTY,192800.0,0.041,1.743,-60.206,-0.628,0.055,0.734,3.747,27.67
USDINR,192800.0,0.015,0.368,-1.894,-0.209,0.013,0.229,7.204,5.844
