stock,beta_oil,beta_fx,fx_car_pct,prior_fx_dir,fx_confirmed
BPCL,0.003,0.114,-0.004,≈0,False
ONGC,0.001,0.105,-0.003,+,True
CIPLA,-0.003,0.032,-0.001,+,False
INDIGO,-0.046,0.02,-0.001,-,False
INFY,0.006,0.014,-0.0,+,False
IOC,-0.04,-0.001,0.0,≈0,False
MARUTI,-0.002,-0.003,0.0,-,False
HINDUNILVR,0.004,-0.008,0.0,-,False
TCS,0.02,-0.038,0.001,+,False
TATAMOTORS,0.005,-0.043,0.001,-,False
ADANIPORTS,0.012,-0.051,0.002,+,False
ITC,-0.008,-0.057,0.002,-,True
ASIANPAINT,-0.021,-0.081,0.003,-,True
RELIANCE,-0.01,-0.094,0.003,+,False
HPCL,0.015,-0.119,0.004,≈0,False
