event_date,event_label,stock,beta_oil,beta_fx,oil_shock_pct,fx_shock_pct,oil_score,fx_score,composite_score,signal
2019-09-14,Saudi Aramco Drone Attacks,IOC,0.257,-0.535,9.86,0.3,2.533,-0.162,2.372,1
2019-09-14,Saudi Aramco Drone Attacks,HINDUNILVR,0.114,0.203,9.86,0.3,1.124,0.061,1.185,1
2019-09-14,Saudi Aramco Drone Attacks,BPCL,0.072,0.672,9.86,0.3,0.713,0.203,0.915,1
2019-09-14,Saudi Aramco Drone Attacks,ASIANPAINT,0.053,0.728,9.86,0.3,0.518,0.22,0.738,1
2019-09-14,Saudi Aramco Drone Attacks,HPCL,0.067,0.101,9.86,0.3,0.662,0.03,0.693,1
2019-09-14,Saudi Aramco Drone Attacks,ADANIPORTS,0.098,-1.032,9.86,0.3,0.963,-0.311,0.652,1
2019-09-14,Saudi Aramco Drone Attacks,CIPLA,0.038,0.577,9.86,0.3,0.379,0.174,0.554,1
2019-09-14,Saudi Aramco Drone Attacks,TATAMOTORS,0.023,0.294,9.86,0.3,0.228,0.089,0.317,1
2019-09-14,Saudi Aramco Drone Attacks,MARUTI,0.027,0.041,9.86,0.3,0.266,0.012,0.279,1
2019-09-14,Saudi Aramco Drone Attacks,INFY,-0.002,0.939,9.86,0.3,-0.024,0.283,0.26,1
2019-09-14,Saudi Aramco Drone Attacks,TCS,-0.003,-0.151,9.86,0.3,-0.031,-0.046,-0.076,-1
2019-09-14,Saudi Aramco Drone Attacks,ONGC,-0.054,0.812,9.86,0.3,-0.531,0.245,-0.286,-1
2019-09-14,Saudi Aramco Drone Attacks,RELIANCE,-0.132,-0.19,9.86,0.3,-1.302,-0.057,-1.36,-1
2019-09-14,Saudi Aramco Drone Attacks,ITC,-0.14,-0.067,9.86,0.3,-1.382,-0.02,-1.402,-1
2019-09-14,Saudi Aramco Drone Attacks,INDIGO,-0.212,-0.318,9.86,0.3,-2.085,-0.096,-2.181,-1
2020-03-09,Saudi-Russia Price War Erupts,IOC,-0.244,-0.363,-19.78,0.04,4.837,-0.015,4.823,1
2020-03-09,Saudi-Russia Price War Erupts,TATAMOTORS,-0.135,0.135,-19.78,0.04,2.665,0.005,2.67,1
2020-03-09,Saudi-Russia Price War Erupts,HPCL,-0.116,0.906,-19.78,0.04,2.303,0.037,2.34,1
2020-03-09,Saudi-Russia Price War Erupts,ONGC,-0.071,1.316,-19.78,0.04,1.399,0.053,1.452,1
2020-03-09,Saudi-Russia Price War Erupts,TCS,-0.054,-0.817,-19.78,0.04,1.072,-0.033,1.039,1
2020-03-09,Saudi-Russia Price War Erupts,RELIANCE,-0.047,0.105,-19.78,0.04,0.936,0.004,0.94,1
2020-03-09,Saudi-Russia Price War Erupts,BPCL,-0.017,-0.609,-19.78,0.04,0.342,-0.025,0.318,1
2020-03-09,Saudi-Russia Price War Erupts,INFY,-0.012,0.325,-19.78,0.04,0.237,0.013,0.251,1
