day,mean,std,n_events,t_stat,p_value,cum_mean
-5,-0.1735,0.2759,10,-1.988,0.0781,-0.1735
-4,-0.0009,0.2734,10,-0.01,0.9921,-0.1744
-3,0.0357,0.2994,10,0.377,0.7148,-0.1387
-2,0.3115,0.2962,10,3.326,0.0089,0.1728
-1,0.0747,0.3435,10,0.688,0.5091,0.2475
0,-0.0231,0.2744,10,-0.266,0.7959,0.2244
1,0.0422,0.3091,10,0.432,0.6762,0.2666
2,-0.1241,0.3096,10,-1.268,0.2366,0.1425
3,0.1791,0.4752,10,1.192,0.2637,0.3216
4,-0.0285,0.3055,10,-0.295,0.7748,0.2931
5,-0.1005,0.3426,10,-0.928,0.3776,0.1926
6,0.0727,0.2788,10,0.825,0.4308,0.2653
7,0.0183,0.2929,10,0.198,0.8477,0.2836
8,0.0433,0.3169,10,0.432,0.6759,0.3269
9,0.0852,0.4403,10,0.612,0.5556,0.4121
10,-0.1868,0.2807,10,-2.105,0.0646,0.2253
