,date,stock,signal,weight,predicted_return,gross_return,net_return,hit
0,2023-02-17,ONGC,1,0.2,0.55,-3.9749,-0.825,False
1,2023-02-17,INDIGO,-1,-0.25,-0.7756,-4.4183,1.0671,True
2,2023-02-17,ADANIPORTS,-1,-0.25,-0.7964,-1.6458,0.374,True
3,2023-02-17,TATAMOTORS,-1,-0.25,-0.6132,1.3125,-0.3656,False
4,2023-02-17,HINDUNILVR,1,0.2,0.5291,-0.967,-0.2234,False
5,2023-02-17,ITC,1,0.2,0.2687,-1.0548,-0.241,False
6,2023-02-17,TCS,1,0.2,0.4036,1.9302,0.356,True
7,2023-02-17,INFY,-1,-0.25,-1.3212,2.2028,-0.5882,False
8,2023-02-17,CIPLA,1,0.2,0.9494,-0.7626,-0.1825,False
9,2023-03-10,RELIANCE,-1,-0.25,-0.4261,1.0395,-0.2974,False
10,2023-03-10,ONGC,1,0.2,0.7752,-2.2624,-0.4825,False
11,2023-03-10,IOC,1,0.2,0.2494,3.9509,0.7602,True
12,2023-03-10,BPCL,1,0.2,0.897,0.328,0.0356,True
13,2023-03-10,TATAMOTORS,1,0.2,0.7066,0.5089,0.0718,True
14,2023-03-10,ASIANPAINT,-1,-0.25,-0.4838,-0.77,0.155,True
15,2023-03-10,HINDUNILVR,-1,-0.25,-0.596,1.1571,-0.3268,False
16,2023-03-10,ITC,-1,-0.25,-0.3117,1.1641,-0.3285,False
17,2023-03-10,INFY,1,0.2,0.3787,0.8644,0.1429,True
18,2023-03-24,IOC,-1,-0.25,-0.6141,3.9146,-1.0161,False
19,2023-03-24,BPCL,-1,-0.25,-0.8487,4.3136,-1.1159,False
20,2023-03-24,INDIGO,-1,-0.25,-1.6885,-2.9133,0.6908,True
21,2023-03-24,HPCL,-1,-0.25,-1.0403,-0.6053,0.1138,True
22,2023-03-24,TATAMOTORS,1,0.2,-0.0932,1.1018,0.1904,True
23,2023-03-24,ASIANPAINT,1,0.2,0.6563,4.5327,0.8765,True
24,2023-03-24,ITC,1,0.2,0.3481,0.0139,-0.0272,True
25,2023-03-24,TCS,1,0.2,0.3263,1.5234,0.2747,True
26,2023-03-24,CIPLA,1,0.2,0.0102,1.4287,0.2557,True
27,2023-03-31,IOC,1,0.2,0.0212,1.622,0.2944,True
28,2023-03-31,BPCL,-1,-0.25,-1.3709,3.5774,-0.9318,False
29,2023-03-31,INDIGO,-1,-0.25,-0.7492,1.0228,-0.2932,False
30,2023-03-31,ADANIPORTS,1,0.2,0.3934,-2.5338,-0.5368,False
31,2023-03-31,TATAMOTORS,1,0.2,0.6825,-0.7461,-0.1792,False
32,2023-03-31,MARUTI,-1,-0.25,-0.5784,0.49,-0.16,False
33,2023-03-31,ASIANPAINT,-1,-0.25,-0.9291,1.9926,-0.5356,False
34,2023-03-31,ITC,1,0.2,0.0362,0.6784,0.1057,True
35,2023-03-31,INFY,1,0.2,0.2944,-0.8286,-0.1957,False
36,2023-04-19,RELIANCE,-1,-0.25,-1.2785,1.5417,-0.4229,False
37,2023-04-19,ONGC,1,0.2,0.2122,0.6133,0.0927,True
38,2023-04-19,IOC,1,0.2,-0.0461,0.7278,0.1156,True
39,2023-04-19,BPCL,-1,-0.25,-0.8563,-1.252,0.2755,True
40,2023-04-19,ADANIPORTS,1,0.2,-0.0492,0.4011,0.0502,True
41,2023-04-19,TATAMOTORS,-1,-0.25,-0.8713,3.1942,-0.836,False
42,2023-04-19,MARUTI,-1,-0.25,-1.1049,4.9048,-1.2637,False
43,2023-04-19,HINDUNILVR,1,0.2,0.3946,1.5289,0.2758,True
44,2023-04-19,INFY,1,0.2,0.1319,-0.0501,-0.04,False
45,2023-05-18,IOC,1,0.2,1.7864,-2.4464,-0.5193,False
46,2023-05-18,BPCL,-1,-0.25,0.0396,-7.8058,1.914,True
47,2023-05-18,INDIGO,-1,-0.25,-0.788,0.0858,-0.0589,False
48,2023-05-18,HPCL,1,0.2,0.8138,2.0858,0.3872,True
49,2023-05-18,ADANIPORTS,1,0.2,1.6378,1.3059,0.2312,True
50,2023-05-18,TATAMOTORS,1,0.2,0.881,1.5131,0.2726,True
51,2023-05-18,ASIANPAINT,1,0.2,0.9369,2.7213,0.5143,True
52,2023-05-18,ITC,-1,-0.25,-0.3631,-1.6003,0.3626,True
53,2023-05-18,TCS,-1,-0.25,0.0495,-0.3191,0.0423,True
54,2023-05-26,ONGC,1,0.2,0.809,-0.87,-0.204,False
55,2023-05-26,IOC,1,0.2,1.5179,1.0111,0.1722,True
56,2023-05-26,BPCL,-1,-0.25,-1.185,-3.985,0.9588,True
57,2023-05-26,INDIGO,1,0.2,1.0239,1.8265,0.3353,True
58,2023-05-26,ADANIPORTS,-1,-0.25,-0.4414,3.1533,-0.8258,False
59,2023-05-26,ASIANPAINT,-1,-0.25,-0.0903,0.1996,-0.0874,False
60,2023-05-26,TCS,1,0.2,0.9875,2.2514,0.4203,True
61,2023-05-26,INFY,-1,-0.25,-0.4166,1.4168,-0.3917,False
62,2023-05-26,CIPLA,1,0.2,0.9477,-2.1376,-0.4575,False
63,2023-06-05,RELIANCE,-1,-0.25,-0.6005,3.3621,-0.878,False
64,2023-06-05,ONGC,1,0.2,0.3557,-0.0727,-0.0445,False
65,2023-06-05,BPCL,-1,-0.25,-0.7189,-6.732,1.6455,True
66,2023-06-05,INDIGO,1,0.2,0.4958,-1.2203,-0.2741,False
67,2023-06-05,HPCL,1,0.2,0.6432,0.6798,0.106,True
68,2023-06-05,ADANIPORTS,1,0.2,1.1068,-7.2119,-1.4724,False
69,2023-06-05,ASIANPAINT,-1,-0.25,-0.3823,0.0969,-0.0617,False
70,2023-06-05,INFY,-1,-0.25,-0.4196,1.1084,-0.3146,False
71,2023-06-05,CIPLA,1,0.2,0.3871,2.7446,0.5189,True
72,2023-06-20,RELIANCE,1,0.2,0.9201,3.3228,0.6346,True
73,2023-06-20,ONGC,1,0.2,1.256,2.6882,0.5076,True
74,2023-06-20,IOC,-1,-0.25,-0.3131,-3.2544,0.7761,True
75,2023-06-20,HPCL,1,0.2,0.664,3.4584,0.6617,True
76,2023-06-20,TATAMOTORS,1,0.2,1.0454,5.3409,1.0382,True
77,2023-06-20,MARUTI,-1,-0.25,-1.3615,0.3122,-0.1155,False
78,2023-06-20,ITC,1,0.2,0.4735,-2.693,-0.5686,False
79,2023-06-20,INFY,-1,-0.25,-0.4139,-0.1778,0.0069,True
80,2023-06-20,CIPLA,-1,-0.25,-0.7597,2.3818,-0.6329,False
