,stock,mean_net_pnl,hit_ratio,n_trades,mean_signal
0,MARUTI,0.145,0.639,36,0.0
1,ONGC,0.092,0.565,46,0.043
2,TATAMOTORS,0.064,0.286,56,0.571
3,HPCL,0.061,0.286,49,0.51
4,CIPLA,0.05,0.667,33,-0.091
5,HINDUNILVR,0.009,0.571,35,-0.029
6,ITC,-0.029,0.432,37,-0.081
7,IOC,-0.034,0.46,50,0.4
8,BPCL,-0.042,0.439,41,-0.22
9,RELIANCE,-0.092,0.429,49,0.388
10,INFY,-0.107,0.385,39,0.179
11,TCS,-0.11,0.487,39,0.179
12,ADANIPORTS,-0.114,0.512,41,-0.171
13,ASIANPAINT,-0.163,0.389,36,-0.056
14,INDIGO,-0.218,0.365,52,-0.308
